country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Pusa, Delhi - IMD","01-02-2024 11:00:00",28.636110,77.173332,OZONE,12,16,14
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","01-02-2024 11:00:00",28.563262,77.186937,PM10,41,430,184
India,Delhi,Delhi,"Rohini, Delhi - DPCC","01-02-2024 11:00:00",28.732528,77.119920,PM2.5,48,464,270
India,Delhi,Delhi,"Rohini, Delhi - DPCC","01-02-2024 11:00:00",28.732528,77.119920,OZONE,2,32,17
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","01-02-2024 11:00:00",28.5504249,77.2159377,SO2,31,34,33
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","01-02-2024 11:00:00",28.710508,77.249485,CO,34,122,53
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","01-02-2024 11:00:00",28.531346,77.190156,NH3,10,15,12
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","01-02-2024 11:00:00",28.531346,77.190156,CO,7,101,22
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","01-02-2024 11:00:00",28.672342,77.315260,PM10,NA,NA,NA
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","01-02-2024 11:00:00",28.672342,77.315260,CO,6,109,21
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","01-02-2024 11:00:00",28.699793,77.165453,NO2,54,202,133
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","01-02-2024 11:00:00",28.699793,77.165453,NH3,4,10,6
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","01-02-2024 11:00:00",28.699793,77.165453,CO,8,103,48
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","01-02-2024 11:00:00",23.107969,72.574648,NO2,28,32,31
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","01-02-2024 11:00:00",23.107969,72.574648,SO2,2,9,5
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","01-02-2024 11:00:00",22.977134,72.553024,PM10,31,231,80
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","01-02-2024 11:00:00",22.977134,72.553024,NH3,3,6,4
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","01-02-2024 11:00:00",23.002657,72.591912,OZONE,6,174,33
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","01-02-2024 11:00:00",23.020509,72.579261,NO2,11,15,14
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","01-02-2024 11:00:00",23.020509,72.579261,NH3,3,5,3
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","01-02-2024 11:00:00",23.016834,72.625775,PM2.5,41,269,96
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","01-02-2024 11:00:00",23.041137,72.456691,SO2,11,14,12
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","01-02-2024 11:00:00",23.076793,72.627874,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","01-02-2024 11:00:00",23.076793,72.627874,OZONE,5,8,7
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","01-02-2024 11:00:00",23.043070,72.562968,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","01-02-2024 11:00:00",23.043070,72.562968,NH3,NA,NA,NA
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","01-02-2024 11:00:00",23.163798,72.677768,PM10,83,187,119
India,Gujarat,Surat,"Science Center, Surat - SMC","01-02-2024 11:00:00",21.170046,72.795405,PM10,8,120,45
India,Gujarat,Surat,"Science Center, Surat - SMC","01-02-2024 11:00:00",21.170046,72.795405,NO2,8,19,13
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","01-02-2024 11:00:00",20.362421,72.918013,PM2.5,54,329,205
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","01-02-2024 11:00:00",20.362421,72.918013,NH3,15,20,17
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","01-02-2024 11:00:00",20.362421,72.918013,OZONE,2,2,2
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","01-02-2024 11:00:00",30.379589,76.778328,PM2.5,1,283,152
